Designator ,MANUFACTURER        ,MANUFACTURER #     ,DISTRIBUTOR          ,DISTRIBUTOR #       ,PART               ,PART DESCRIPTION                                            ,TOLERANCE                                                                    ,EE_SPEC            ,Comment     ,
R24        ,Yageo               ,RC0402FR-0710RL    ,Digi-Key Electronics ,311-10.0LRTR-ND     ,RC0402FR-0710RL    ,10 Ohm ±1% 0.063W                                           ,1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film         ,1%                 ,10R 1% 0402 ,=VALUE          ,
C21        ,Murata              ,GRM155R71C104KA88D ,Digi-Key Electronics ,490-3261-2-ND       ,GRM155R71C104KA88D ,0.10µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)    ,10%                                                                          ,100nF 16V X7R 0402 ,=VALUE      ,
TP37       ,NA                  ,NOTAPART-Testpoint ,NA                   ,NA                  ,NOTAPART-Testpoint ,NA                                                          ,NA                                                                           ,NA                 ,TP4         ,
TP35       ,NA                  ,NOTAPART-Testpoint ,NA                   ,NA                  ,NOTAPART-Testpoint ,NA                                                          ,NA                                                                           ,NA                 ,TP4         ,
R21        ,Yageo               ,RC0402FR-07100RL   ,Digi-Key Electronics ,311-100LRTR-ND      ,RC0402FR-07100RL   ,100 Ohm ±1% 0.063W                                          ,1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film         ,1%                 ,1/16W       ,=VALUE          ,
R30        ,Yageo               ,RC0402FR-0710KP    ,Digi-Key Electronics ,YAG1249TR-ND        ,RC0402FR-0710KP    ,10k Ohm ±1% 0.063W                                          ,1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film         ,1%                 ,1/16W       ,=VALUE          ,
D14        ,Rohm                ,RSB39VTE-17        ,Digi-Key Electronics ,RSB39VTE-17TR-ND    ,RSB39VTE-17        ,TVS DIODE 30VWM SOD323                                      ,-NA-                                                                         ,30Vso 30pF         ,RSB39VTE-17 ,
D7         ,MCC                 ,SK310A             ,Digi-Key Electronics ,SK310A-TPTR-ND      ,SK310A             ,Diode Schottky 100V 3A Surface Mount DO-214AC (HSMA)        ,-NA-                                                                         ,100V 3A            ,SK310A-TP   ,
C9         ,NA                  ,DNI-C0603TBD       ,NA                   ,NA                  ,DNI-C0603TBD       ,NA                                                          ,NA                                                                           ,NA                 ,=VALUE      ,
Q1         ,TI                  ,CSD18503Q5A        ,NA                   ,NA                  ,CSD18503Q5A        ,MOSFET N-CH 40V 100A 8VSON                                  ,NA                                                                           ,40V 100A           ,CSD18503Q5A ,
R8         ,Yageo               ,RC0402FR-0710KP    ,Digikey              ,YAG1249TR-ND        ,RC0402FR-0710KP    ,10k Ohm ±1% 0.063W                                          ,1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film         ,1%                 ,1/16W       ,=VALUE          ,
D15        ,MCC                 ,SK310A             ,Digi-Key Electronics ,SK310A-TPTR-ND      ,SK310A             ,Diode Schottky 100V 3A Surface Mount DO-214AC (HSMA)        ,-NA-                                                                         ,100V 3A            ,SK310A-TP   ,
U4         ,Diodes Incorporated ,ZXGD3009E6TA       ,Digi-Key Electronics ,ZXGD3009E6TADITR-ND ,ZXGD3009E6TA       ,Low-Side Gate Driver IC Non-Inverting SOT-26                ,-NA-                                                                         ,40V 2A             ,ZXGD3009E6  ,
TP58       ,NA                  ,NOTAPART-Testpoint ,NA                   ,NA                  ,NOTAPART-Testpoint ,NA                                                          ,NA                                                                           ,NA                 ,TP4         ,
D8         ,MCC                 ,SK310A             ,Digi-Key Electronics ,SK310A-TPTR-ND      ,SK310A             ,Diode Schottky 100V 3A Surface Mount DO-214AC (HSMA)        ,-NA-                                                                         ,100V 3A            ,SK310A-TP   ,
D18        ,Dialight            ,5988110107F        ,Digi-Key Electronics ,350-2038-2-ND       ,5988110107F        ,Red 635nm LED Indication - Discrete 2.2V 0805 (2012 Metric) ,-NA-                                                                         ,Vf=2.2V            ,=VALUE      ,
R53        ,Yageo               ,RC0402FR-07100RL   ,Digi-Key Electronics ,311-100LRTR-ND      ,RC0402FR-07100RL   ,100 Ohm ±1% 0.063W                                          ,1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film         ,1%                 ,1/16W       ,=VALUE          ,
J1         ,Molex               ,0430450612         ,NA                   ,NA                  ,0430450612         ,NA                                                          ,NA                                                                           ,600V 8A 3mm        ,=Value      ,
C10        ,NA                  ,DNI-C0603TBD       ,NA                   ,NA                  ,DNI-C0603TBD       ,NA                                                          ,NA                                                                           ,NA                 ,=VALUE      ,
J200       ,Molex               ,0430450612         ,NA                   ,NA                  ,0430450612         ,NA                                                          ,NA                                                                           ,600V 8A 3mm        ,=Value      ,
D6         ,MCC                 ,SK310A             ,Digi-Key Electronics ,SK310A-TPTR-ND      ,SK310A             ,Diode Schottky 100V 3A Surface Mount DO-214AC (HSMA)        ,-NA-                                                                         ,100V 3A            ,SK310A-TP   ,
R20        ,Yageo               ,RC0402FR-07100RL   ,Digi-Key Electronics ,311-100LRTR-ND      ,RC0402FR-07100RL   ,100 Ohm ±1% 0.063W                                          ,1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film         ,1%                 ,1/16W       ,=VALUE          ,
R54        ,Yageo               ,RC0402FR-0710KP    ,Digi-Key Electronics ,YAG1249TR-ND        ,RC0402FR-0710KP    ,10k Ohm ±1% 0.063W                                          ,1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film         ,1%                 ,1/16W       ,=VALUE          ,
Q3         ,TI                  ,CSD18503Q5A        ,NA                   ,NA                  ,CSD18503Q5A        ,MOSFET N-CH 40V 100A 8VSON                                  ,NA                                                                           ,40V 100A           ,CSD18503Q5A ,
TP59       ,NA                  ,NOTAPART-Testpoint ,NA                   ,NA                  ,NOTAPART-Testpoint ,NA                                                          ,NA                                                                           ,NA                 ,TP4         ,
U7         ,Diodes Incorporated ,ZXGD3009E6TA       ,Digi-Key Electronics ,ZXGD3009E6TADITR-ND ,ZXGD3009E6TA       ,Low-Side Gate Driver IC Non-Inverting SOT-26                ,-NA-                                                                         ,40V 2A             ,ZXGD3009E6  ,
Q2         ,TI                  ,CSD18503Q5A        ,NA                   ,NA                  ,CSD18503Q5A        ,MOSFET N-CH 40V 100A 8VSON                                  ,NA                                                                           ,40V 100A           ,CSD18503Q5A ,
D16        ,Dialight            ,5988110107F        ,Digi-Key Electronics ,350-2038-2-ND       ,5988110107F        ,Red 635nm LED Indication - Discrete 2.2V 0805 (2012 Metric) ,-NA-                                                                         ,Vf=2.2V            ,=VALUE      ,
U10E       ,Texas Instruments   ,SN74AHCT125RGYR    ,Digi-Key Electronics ,296-13910-2-ND      ,SN74AHCT125RGYR    ,Buffer                                                      ,Non-Inverting 4 Element 1 Bit per Element Push-Pull Output 14-VQFN (3.5x3.5) ,-NA-               ,5V 8mA      ,SN74AHCT125RGYR ,
D10        ,Rohm                ,RSB39VTE-17        ,Digi-Key Electronics ,RSB39VTE-17TR-ND    ,RSB39VTE-17        ,TVS DIODE 30VWM SOD323                                      ,-NA-                                                                         ,30Vso 30pF         ,RSB39VTE-17 ,
TP66       ,NA                  ,NOTAPART-Testpoint ,NA                   ,NA                  ,NOTAPART-Testpoint ,NA                                                          ,NA                                                                           ,NA                 ,TP4         ,
C22        ,Murata              ,GRM155R71C104KA88D ,Digi-Key Electronics ,490-3261-2-ND       ,GRM155R71C104KA88D ,0.10µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)    ,10%                                                                          ,100nF 16V X7R 0402 ,=VALUE      ,
TP64       ,NA                  ,NOTAPART-Testpoint ,NA                   ,NA                  ,NOTAPART-Testpoint ,NA                                                          ,NA                                                                           ,NA                 ,TP4         ,
U5         ,Diodes Incorporated ,ZXGD3009E6TA       ,Digi-Key Electronics ,ZXGD3009E6TADITR-ND ,ZXGD3009E6TA       ,Low-Side Gate Driver IC Non-Inverting SOT-26                ,-NA-                                                                         ,40V 2A             ,ZXGD3009E6  ,
D17        ,Dialight            ,5988110107F        ,Digi-Key Electronics ,350-2038-2-ND       ,5988110107F        ,Red 635nm LED Indication - Discrete 2.2V 0805 (2012 Metric) ,-NA-                                                                         ,Vf=2.2V            ,=VALUE      ,
R52        ,Yageo               ,RC0402FR-0710RL    ,Digi-Key Electronics ,311-10.0LRTR-ND     ,RC0402FR-0710RL    ,10 Ohm ±1% 0.063W                                           ,1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film         ,1%                 ,10R 1% 0402 ,=VALUE          ,
R39        ,Yageo               ,RC0402FR-0710KP    ,Digi-Key Electronics ,YAG1249TR-ND        ,RC0402FR-0710KP    ,10k Ohm ±1% 0.063W                                          ,1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film         ,1%                 ,1/16W       ,=VALUE          ,
R27        ,Yageo               ,RC0402FR-0710RL    ,Digi-Key Electronics ,311-10.0LRTR-ND     ,RC0402FR-0710RL    ,10 Ohm ±1% 0.063W                                           ,1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film         ,1%                 ,10R 1% 0402 ,=VALUE          ,
U10B       ,Texas Instruments   ,SN74AHCT125RGYR    ,Digi-Key Electronics ,296-13910-2-ND      ,SN74AHCT125RGYR    ,Buffer                                                      ,Non-Inverting 4 Element 1 Bit per Element Push-Pull Output 14-VQFN (3.5x3.5) ,-NA-               ,5V 8mA      ,SN74AHCT125RGYR ,
C8         ,NA                  ,DNI-C0603TBD       ,NA                   ,NA                  ,DNI-C0603TBD       ,NA                                                          ,NA                                                                           ,NA                 ,=VALUE      ,
U10C       ,Texas Instruments   ,SN74AHCT125RGYR    ,Digi-Key Electronics ,296-13910-2-ND      ,SN74AHCT125RGYR    ,Buffer                                                      ,Non-Inverting 4 Element 1 Bit per Element Push-Pull Output 14-VQFN (3.5x3.5) ,-NA-               ,5V 8mA      ,SN74AHCT125RGYR ,
R25        ,Yageo               ,RC0402FR-07100RL   ,Digi-Key Electronics ,311-100LRTR-ND      ,RC0402FR-07100RL   ,100 Ohm ±1% 0.063W                                          ,1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film         ,1%                 ,1/16W       ,=VALUE          ,
R29        ,Yageo               ,RC0402FR-0710KP    ,Digi-Key Electronics ,YAG1249TR-ND        ,RC0402FR-0710KP    ,10k Ohm ±1% 0.063W                                          ,1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film         ,1%                 ,1/16W       ,=VALUE          ,
Q4         ,TI                  ,CSD18503Q5A        ,NA                   ,NA                  ,CSD18503Q5A        ,MOSFET N-CH 40V 100A 8VSON                                  ,NA                                                                           ,40V 100A           ,CSD18503Q5A ,
D11        ,Rohm                ,RSB39VTE-17        ,Digi-Key Electronics ,RSB39VTE-17TR-ND    ,RSB39VTE-17        ,TVS DIODE 30VWM SOD323                                      ,-NA-                                                                         ,30Vso 30pF         ,RSB39VTE-17 ,
R55        ,Yageo               ,RC0402FR-0710RL    ,Digi-Key Electronics ,311-10.0LRTR-ND     ,RC0402FR-0710RL    ,10 Ohm ±1% 0.063W                                           ,1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film         ,1%                 ,10R 1% 0402 ,=VALUE          ,
TP65       ,NA                  ,NOTAPART-Testpoint ,NA                   ,NA                  ,NOTAPART-Testpoint ,NA                                                          ,NA                                                                           ,NA                 ,TP4         ,
R6         ,Yageo               ,RC0402FR-0710KP    ,Digikey              ,YAG1249TR-ND        ,RC0402FR-0710KP    ,10k Ohm ±1% 0.063W                                          ,1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film         ,1%                 ,1/16W       ,=VALUE          ,
D4         ,Rohm                ,RSB39VTE-17        ,Digi-Key Electronics ,RSB39VTE-17TR-ND    ,RSB39VTE-17        ,TVS DIODE 30VWM SOD323                                      ,-NA-                                                                         ,30Vso 30pF         ,RSB39VTE-17 ,
C19        ,Murata              ,GRM155R71C104KA88D ,Digi-Key Electronics ,490-3261-2-ND       ,GRM155R71C104KA88D ,0.10µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)    ,10%                                                                          ,100nF 16V X7R 0402 ,=VALUE      ,
U3         ,Diodes Incorporated ,ZXGD3009E6TA       ,Digi-Key Electronics ,ZXGD3009E6TADITR-ND ,ZXGD3009E6TA       ,Low-Side Gate Driver IC Non-Inverting SOT-26                ,-NA-                                                                         ,40V 2A             ,ZXGD3009E6  ,
TP62       ,NA                  ,NOTAPART-Testpoint ,NA                   ,NA                  ,NOTAPART-Testpoint ,NA                                                          ,NA                                                                           ,NA                 ,TP4         ,
U10D       ,Texas Instruments   ,SN74AHCT125RGYR    ,Digi-Key Electronics ,296-13910-2-ND      ,SN74AHCT125RGYR    ,Buffer                                                      ,Non-Inverting 4 Element 1 Bit per Element Push-Pull Output 14-VQFN (3.5x3.5) ,-NA-               ,5V 8mA      ,SN74AHCT125RGYR ,
C11        ,NA                  ,DNI-C0603TBD       ,NA                   ,NA                  ,DNI-C0603TBD       ,NA                                                          ,NA                                                                           ,NA                 ,=VALUE      ,
C31        ,Murata              ,GRM155R71C104KA88D ,Digi-Key Electronics ,490-3261-2-ND       ,GRM155R71C104KA88D ,0.10µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)    ,10%                                                                          ,100nF 16V X7R 0402 ,=VALUE      ,
U10A       ,Texas Instruments   ,SN74AHCT125RGYR    ,Digi-Key Electronics ,296-13910-2-ND      ,SN74AHCT125RGYR    ,Buffer                                                      ,Non-Inverting 4 Element 1 Bit per Element Push-Pull Output 14-VQFN (3.5x3.5) ,-NA-               ,5V 8mA      ,SN74AHCT125RGYR ,
C20        ,Murata              ,GRM155R71C104KA88D ,Digi-Key Electronics ,490-3261-2-ND       ,GRM155R71C104KA88D ,0.10µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)    ,10%                                                                          ,100nF 16V X7R 0402 ,=VALUE      ,
TP40       ,NA                  ,NOTAPART-Testpoint ,NA                   ,NA                  ,NOTAPART-Testpoint ,NA                                                          ,NA                                                                           ,NA                 ,TP4         ,
D9         ,Dialight            ,5988110107F        ,Digi-Key Electronics ,350-2038-2-ND       ,5988110107F        ,Red 635nm LED Indication - Discrete 2.2V 0805 (2012 Metric) ,-NA-                                                                         ,Vf=2.2V            ,=VALUE      ,
R9         ,Yageo               ,RC0402FR-0710KP    ,Digikey              ,YAG1249TR-ND        ,RC0402FR-0710KP    ,10k Ohm ±1% 0.063W                                          ,1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film         ,1%                 ,1/16W       ,=VALUE          ,
TP38       ,NA                  ,NOTAPART-Testpoint ,NA                   ,NA                  ,NOTAPART-Testpoint ,NA                                                          ,NA                                                                           ,NA                 ,TP4         ,
R7         ,Yageo               ,RC0402FR-0710KP    ,Digikey              ,YAG1249TR-ND        ,RC0402FR-0710KP    ,10k Ohm ±1% 0.063W                                          ,1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film         ,1%                 ,1/16W       ,=VALUE          ,
TP39       ,NA                  ,NOTAPART-Testpoint ,NA                   ,NA                  ,NOTAPART-Testpoint ,NA                                                          ,NA                                                                           ,NA                 ,TP4         ,
TP63       ,NA                  ,NOTAPART-Testpoint ,NA                   ,NA                  ,NOTAPART-Testpoint ,NA                                                          ,NA                                                                           ,NA                 ,TP4         ,
